Driver,Compound,FP2AvgPace,FP2BestPace,FP2DegRate,FP2LapCount,FP2AvgTyreLife,Year,RoundNumber,EventName,SessionSource
ALO,MEDIUM,87.17369230769233,82.416,1.7867252747252764,13.0,13.0,2025,1,Australian Grand Prix,FP2
ANT,HARD,82.31845454545454,81.485,-0.12939999999999896,11.0,15.0,2025,1,Australian Grand Prix,FP2
BOR,MEDIUM,83.99377777777778,83.013,-0.2836000000000028,9.0,15.0,2025,1,Australian Grand Prix,FP2
DOO,MEDIUM,91.59744444444445,77.851,-2.0162694595293518,18.0,12.833333333333334,2025,1,Australian Grand Prix,FP2
GAS,SOFT,83.72319999999999,82.203,0.0032363636363643153,10.0,13.5,2025,1,Australian Grand Prix,FP2
HAD,MEDIUM,93.77733333333335,77.841,-2.595601391650103,15.0,11.2,2025,1,Australian Grand Prix,FP2
HAM,MEDIUM,82.22833333333334,81.297,-0.14363636363636695,12.0,17.5,2025,1,Australian Grand Prix,FP2
HUL,MEDIUM,88.39272727272727,82.059,2.2232999999999987,11.0,12.0,2025,1,Australian Grand Prix,FP2
LAW,MEDIUM,83.40027272727274,82.711,-0.07657272727272794,11.0,14.0,2025,1,Australian Grand Prix,FP2
LEC,MEDIUM,82.83284615384615,80.825,0.09767582417582443,13.0,18.0,2025,1,Australian Grand Prix,FP2
NOR,MEDIUM,81.9208888888889,81.466,-0.11118333333333538,9.0,14.0,2025,1,Australian Grand Prix,FP2
OCO,MEDIUM,95.53223529411764,78.673,-1.0505135535789913,17.0,12.294117647058824,2025,1,Australian Grand Prix,FP2
PIA,MEDIUM,82.17399999999999,81.84,-0.05158333333333572,9.0,14.0,2025,1,Australian Grand Prix,FP2
RUS,HARD,84.72121428571428,81.582,0.17576923076923306,14.0,15.5,2025,1,Australian Grand Prix,FP2
SAI,MEDIUM,83.208,82.085,-0.08332727272727444,11.0,15.0,2025,1,Australian Grand Prix,FP2
STR,MEDIUM,83.14558333333333,82.365,-0.04840209790209885,12.0,12.5,2025,1,Australian Grand Prix,FP2
TSU,MEDIUM,82.58046666666665,82.362,0.011467857142855491,15.0,15.0,2025,1,Australian Grand Prix,FP2
VER,MEDIUM,82.22342857142857,81.506,-0.11139285714285863,7.0,10.0,2025,1,Australian Grand Prix,FP2
ALB,MEDIUM,98.64994444444444,97.344,0.1970577915376679,18.0,14.5,2025,2,Chinese Grand Prix,Sprint
ALO,MEDIUM,98.60522222222221,97.058,0.2203673890608923,18.0,13.5,2025,2,Chinese Grand Prix,Sprint
ANT,MEDIUM,97.86155555555555,96.311,0.19018988648091023,18.0,17.5,2025,2,Chinese Grand Prix,Sprint
BEA,MEDIUM,98.9738888888889,97.135,0.23330856553148138,18.0,13.5,2025,2,Chinese Grand Prix,Sprint
BOR,MEDIUM,99.35927777777778,97.475,0.2772972136222896,18.0,16.5,2025,2,Chinese Grand Prix,Sprint
DOO,MEDIUM,99.63072222222222,97.686,0.340170278637771,18.0,16.5,2025,2,Chinese Grand Prix,Sprint
GAS,MEDIUM,98.58733333333333,97.481,0.09216305469556196,18.0,16.5,2025,2,Chinese Grand Prix,Sprint
HAD,MEDIUM,98.68900000000001,97.549,0.1200392156862771,18.0,12.5,2025,2,Chinese Grand Prix,Sprint
HAM,MEDIUM,96.85177777777778,95.399,0.10928379772961887,18.0,16.5,2025,2,Chinese Grand Prix,Sprint
HUL,MEDIUM,99.32511111111111,96.529,0.2864355005159948,18.0,16.5,2025,2,Chinese Grand Prix,Sprint
LAW,MEDIUM,98.74616666666667,97.163,0.15571826625387053,18.0,15.5,2025,2,Chinese Grand Prix,Sprint
LEC,MEDIUM,97.32566666666666,96.255,0.11725283797729605,18.0,16.5,2025,2,Chinese Grand Prix,Sprint
NOR,MEDIUM,97.81666666666668,96.708,0.11994014447884753,18.0,13.5,2025,2,Chinese Grand Prix,Sprint
OCO,MEDIUM,98.87872222222222,97.554,0.1250763673890594,18.0,16.5,2025,2,Chinese Grand Prix,Sprint
PIA,MEDIUM,97.11838888888889,95.854,0.16976367389060837,18.0,14.5,2025,2,Chinese Grand Prix,Sprint
RUS,MEDIUM,97.31172222222224,95.891,0.16525593395252713,18.0,18.5,2025,2,Chinese Grand Prix,Sprint
SAI,MEDIUM,97.88581250000001,95.819,0.2700564242012218,16.0,10.4375,2025,2,Chinese Grand Prix,Sprint
STR,MEDIUM,97.93211111111111,96.435,0.18364293085655675,18.0,13.5,2025,2,Chinese Grand Prix,Sprint
TSU,MEDIUM,97.83922222222222,96.388,0.18998968008256137,18.0,13.5,2025,2,Chinese Grand Prix,Sprint
VER,MEDIUM,97.3536111111111,95.745,0.21193292053663856,18.0,13.5,2025,2,Chinese Grand Prix,Sprint
ALB,SOFT,99.64160000000001,96.925,0.9310303030303012,10.0,9.5,2025,4,Bahrain Grand Prix,FP2
ALO,SOFT,97.30775,96.642,0.0031428571428555032,8.0,8.5,2025,4,Bahrain Grand Prix,FP2
ANT,SOFT,99.57825000000001,97.801,0.17886363636363825,12.0,10.5,2025,4,Bahrain Grand Prix,FP2
BEA,SOFT,101.55784615384617,98.016,0.9679065934065911,13.0,11.0,2025,4,Bahrain Grand Prix,FP2
BOR,MEDIUM,99.64777777777778,98.632,0.13645000000000077,9.0,12.0,2025,4,Bahrain Grand Prix,FP2
DOO,MEDIUM,102.446,98.666,1.5241727272727257,11.0,15.0,2025,4,Bahrain Grand Prix,FP2
GAS,HARD,103.67277777777778,98.23,2.259416666666664,9.0,14.0,2025,4,Bahrain Grand Prix,FP2
HAD,MEDIUM,99.6357,98.734,0.1452545454545484,10.0,12.5,2025,4,Bahrain Grand Prix,FP2
HUL,SOFT,103.22711111111111,98.711,2.1637166666666667,9.0,12.0,2025,4,Bahrain Grand Prix,FP2
LAW,MEDIUM,103.58276923076923,99.142,1.4970989010989018,13.0,17.0,2025,4,Bahrain Grand Prix,FP2
LEC,MEDIUM,104.7252,98.064,2.6041575757575774,10.0,12.5,2025,4,Bahrain Grand Prix,FP2
NOR,SOFT,98.26753846153846,96.513,0.25246153846153824,13.0,11.0,2025,4,Bahrain Grand Prix,FP2
OCO,MEDIUM,104.3658,98.601,1.6299515151515167,10.0,15.5,2025,4,Bahrain Grand Prix,FP2
PIA,HARD,98.65537499999999,97.289,0.24301190476190074,8.0,13.5,2025,4,Bahrain Grand Prix,FP2
PIA,SOFT,100.49900000000001,96.099,3.071999999999999,6.0,7.5,2025,4,Bahrain Grand Prix,FP2
RUS,SOFT,99.76372727272725,97.212,0.23804545454545517,11.0,10.0,2025,4,Bahrain Grand Prix,FP2
SAI,MEDIUM,106.909,98.849,3.700549999999998,9.0,15.0,2025,4,Bahrain Grand Prix,FP2
STR,SOFT,103.36508333333332,99.42,1.6203671328671312,12.0,13.5,2025,4,Bahrain Grand Prix,FP2
TSU,MEDIUM,103.06925000000001,99.052,1.580982517482517,12.0,14.5,2025,4,Bahrain Grand Prix,FP2
VER,SOFT,101.4646875,97.78,0.8051367647058841,16.0,12.5,2025,4,Bahrain Grand Prix,FP2
VER,MEDIUM,95.68924999999999,94.714,0.17495238095237914,8.0,12.5,2025,5,Saudi Arabian Grand Prix,FP2
ALB,INTERMEDIATE,102.47725,101.699,0.1846904761904774,8.0,7.5,2025,6,Miami Grand Prix,Sprint
ALB,MEDIUM,133.8526,103.394,6.177200000000012,5.0,10.0,2025,6,Miami Grand Prix,Sprint
ALO,INTERMEDIATE,107.2741,101.782,-2.343121212121217,10.0,7.5,2025,6,Miami Grand Prix,Sprint
ANT,INTERMEDIATE,101.85625,101.012,0.21716666666666956,8.0,7.5,2025,6,Miami Grand Prix,Sprint
ANT,MEDIUM,135.05,131.132,-1.20539999999998,4.0,10.5,2025,6,Miami Grand Prix,Sprint
BEA,INTERMEDIATE,104.55977777777778,102.237,-0.8414166666666731,9.0,7.0,2025,6,Miami Grand Prix,Sprint
BEA,MEDIUM,132.228,112.366,4.469800000000007,5.0,9.0,2025,6,Miami Grand Prix,Sprint
BOR,INTERMEDIATE,107.0828888888889,102.989,-1.8454666666666724,9.0,7.0,2025,6,Miami Grand Prix,Sprint
BOR,MEDIUM,129.83520000000001,115.649,2.404900000000015,5.0,10.0,2025,6,Miami Grand Prix,Sprint
DOO,INTERMEDIATE,107.055,103.076,-2.016566666666669,9.0,7.0,2025,6,Miami Grand Prix,Sprint
DOO,SOFT,129.6292,116.489,1.7443999999999942,5.0,5.0,2025,6,Miami Grand Prix,Sprint
GAS,INTERMEDIATE,108.05488888888888,102.694,-2.5192833333333393,9.0,7.0,2025,6,Miami Grand Prix,Sprint
GAS,MEDIUM,131.175,116.519,2.8831000000000118,5.0,10.0,2025,6,Miami Grand Prix,Sprint
HAD,INTERMEDIATE,103.31922222222222,102.26,0.17905000000000193,9.0,8.0,2025,6,Miami Grand Prix,Sprint
HAD,MEDIUM,133.85675,128.264,-2.230900000000025,4.0,9.5,2025,6,Miami Grand Prix,Sprint
HAM,INTERMEDIATE,102.35342857142858,101.7,0.26914285714285596,7.0,7.0,2025,6,Miami Grand Prix,Sprint
HAM,SOFT,123.7526,96.368,10.094546511627911,5.0,7.6,2025,6,Miami Grand Prix,Sprint
HUL,INTERMEDIATE,108.81288888888889,102.871,-3.0088166666666676,9.0,7.0,2025,6,Miami Grand Prix,Sprint
HUL,MEDIUM,130.6884,115.305,2.7746999999999944,5.0,7.0,2025,6,Miami Grand Prix,Sprint
LAW,INTERMEDIATE,106.797,101.922,-2.2543833333333376,9.0,7.0,2025,6,Miami Grand Prix,Sprint
LAW,MEDIUM,132.6736,113.505,4.4232,5.0,7.0,2025,6,Miami Grand Prix,Sprint
NOR,INTERMEDIATE,101.09509999999999,100.334,0.16003030303030766,10.0,8.5,2025,6,Miami Grand Prix,Sprint
NOR,SOFT,141.33233333333334,137.649,,3.0,5.0,2025,6,Miami Grand Prix,Sprint
OCO,INTERMEDIATE,107.9914,102.55,-2.0914545454545506,10.0,7.5,2025,6,Miami Grand Prix,Sprint
OCO,MEDIUM,133.751,128.581,-2.2068000000000247,4.0,6.5,2025,6,Miami Grand Prix,Sprint
PIA,INTERMEDIATE,101.089,100.238,0.25986666666666064,9.0,8.0,2025,6,Miami Grand Prix,Sprint
PIA,MEDIUM,141.3096666666667,137.752,,3.0,7.0,2025,6,Miami Grand Prix,Sprint
RUS,INTERMEDIATE,102.13666666666667,100.963,0.30878333333333197,9.0,8.0,2025,6,Miami Grand Prix,Sprint
RUS,MEDIUM,140.73925,136.163,-2.346100000000023,4.0,9.5,2025,6,Miami Grand Prix,Sprint
SAI,INTERMEDIATE,107.6545,102.638,-2.9163095238095145,8.0,6.5,2025,6,Miami Grand Prix,Sprint
STR,INTERMEDIATE,107.05137500000001,102.355,-2.501035714285708,8.0,6.5,2025,6,Miami Grand Prix,Sprint
STR,MEDIUM,127.12,96.839,8.395999999999994,6.0,10.5,2025,6,Miami Grand Prix,Sprint
TSU,INTERMEDIATE,105.10685714285715,102.898,-1.242035714285721,7.0,6.0,2025,6,Miami Grand Prix,Sprint
TSU,MEDIUM,122.652,98.078,7.470928571428568,7.0,10.0,2025,6,Miami Grand Prix,Sprint
VER,INTERMEDIATE,101.427875,100.697,0.2034642857142866,8.0,7.5,2025,6,Miami Grand Prix,Sprint
