Driver,FP1AvgPace,FP1LapCount,Year,RoundNumber,EventName
ALB,112.8816,5.0,2023,1,Bahrain Grand Prix
ALO,112.1033,10.0,2023,1,Bahrain Grand Prix
BOT,104.56925,8.0,2023,1,Bahrain Grand Prix
DEV,110.61483333333337,12.0,2023,1,Bahrain Grand Prix
GAS,112.1668181818182,11.0,2023,1,Bahrain Grand Prix
HAM,95.089,2.0,2023,1,Bahrain Grand Prix
HUL,100.17985714285716,14.0,2023,1,Bahrain Grand Prix
LEC,101.53799999999998,4.0,2023,1,Bahrain Grand Prix
SAR,106.32578571428571,14.0,2023,1,Bahrain Grand Prix
SAI,105.40454545454546,11.0,2023,1,Bahrain Grand Prix
RUS,104.4979090909091,11.0,2023,1,Bahrain Grand Prix
PIA,108.13524999999998,12.0,2023,1,Bahrain Grand Prix
PER,98.6308,10.0,2023,1,Bahrain Grand Prix
OCO,114.79763636363636,11.0,2023,1,Bahrain Grand Prix
NOR,102.12933333333334,9.0,2023,1,Bahrain Grand Prix
MAG,101.15133333333334,12.0,2023,1,Bahrain Grand Prix
ZHO,106.18314285714284,7.0,2023,1,Bahrain Grand Prix
VER,98.4713,10.0,2023,1,Bahrain Grand Prix
TSU,121.6592,10.0,2023,1,Bahrain Grand Prix
STR,113.960375,8.0,2023,1,Bahrain Grand Prix
MAG,107.0693076923077,13.0,2023,2,Saudi Arabian Grand Prix
NOR,99.43877777777776,9.0,2023,2,Saudi Arabian Grand Prix
OCO,99.4798181818182,11.0,2023,2,Saudi Arabian Grand Prix
PER,107.73916666666666,6.0,2023,2,Saudi Arabian Grand Prix
PIA,105.59614285714284,14.0,2023,2,Saudi Arabian Grand Prix
RUS,94.40913333333332,15.0,2023,2,Saudi Arabian Grand Prix
SAI,99.8632,10.0,2023,2,Saudi Arabian Grand Prix
SAR,107.70613333333334,15.0,2023,2,Saudi Arabian Grand Prix
ZHO,107.52354545454546,11.0,2023,2,Saudi Arabian Grand Prix
VER,89.93,5.0,2023,2,Saudi Arabian Grand Prix
TSU,109.47672727272726,11.0,2023,2,Saudi Arabian Grand Prix
STR,114.10577777777776,9.0,2023,2,Saudi Arabian Grand Prix
ALB,109.6207692307692,13.0,2023,2,Saudi Arabian Grand Prix
ALO,107.8782,10.0,2023,2,Saudi Arabian Grand Prix
BOT,99.56666666666666,12.0,2023,2,Saudi Arabian Grand Prix
DEV,108.36476470588234,17.0,2023,2,Saudi Arabian Grand Prix
GAS,103.5081875,16.0,2023,2,Saudi Arabian Grand Prix
HAM,103.00958333333332,12.0,2023,2,Saudi Arabian Grand Prix
HUL,100.2734,10.0,2023,2,Saudi Arabian Grand Prix
LEC,100.81146153846154,13.0,2023,2,Saudi Arabian Grand Prix
MAG,92.49242857142858,7.0,2023,3,Australian Grand Prix
NOR,99.479,8.0,2023,3,Australian Grand Prix
OCO,90.68663636363635,11.0,2023,3,Australian Grand Prix
PER,91.1355,6.0,2023,3,Australian Grand Prix
GAS,91.59391666666666,12.0,2023,3,Australian Grand Prix
HAM,93.4037,10.0,2023,3,Australian Grand Prix
HUL,91.763,9.0,2023,3,Australian Grand Prix
LEC,90.416,6.0,2023,3,Australian Grand Prix
STR,93.28355555555557,9.0,2023,3,Australian Grand Prix
TSU,95.49383333333331,6.0,2023,3,Australian Grand Prix
VER,92.37516666666666,6.0,2023,3,Australian Grand Prix
ZHO,93.07666666666668,12.0,2023,3,Australian Grand Prix
PIA,94.68818181818185,11.0,2023,3,Australian Grand Prix
RUS,94.00141666666666,12.0,2023,3,Australian Grand Prix
SAI,88.2325,10.0,2023,3,Australian Grand Prix
SAR,93.2283,10.0,2023,3,Australian Grand Prix
ALB,94.924,10.0,2023,3,Australian Grand Prix
ALO,85.87663636363636,11.0,2023,3,Australian Grand Prix
BOT,87.2688888888889,9.0,2023,3,Australian Grand Prix
DEV,95.66333333333333,15.0,2023,3,Australian Grand Prix
ALO,112.32081818181818,11.0,2023,4,Azerbaijan Grand Prix
BOT,113.62833333333332,12.0,2023,4,Azerbaijan Grand Prix
DEV,117.748,11.0,2023,4,Azerbaijan Grand Prix
GAS,116.16933333333334,3.0,2023,4,Azerbaijan Grand Prix
MAG,112.8605,4.0,2023,4,Azerbaijan Grand Prix
LEC,110.05366666666669,9.0,2023,4,Azerbaijan Grand Prix
HUL,117.411375,8.0,2023,4,Azerbaijan Grand Prix
HAM,109.4562,10.0,2023,4,Azerbaijan Grand Prix
NOR,111.61225,12.0,2023,4,Azerbaijan Grand Prix
STR,114.6371,10.0,2023,4,Azerbaijan Grand Prix
SAR,109.97328571428572,7.0,2023,4,Azerbaijan Grand Prix
SAI,114.025,11.0,2023,4,Azerbaijan Grand Prix
TSU,113.743,4.0,2023,4,Azerbaijan Grand Prix
PIA,117.18823076923076,13.0,2023,4,Azerbaijan Grand Prix
PER,115.18936363636362,11.0,2023,4,Azerbaijan Grand Prix
OCO,127.225,4.0,2023,4,Azerbaijan Grand Prix
RUS,113.51722222222222,9.0,2023,4,Azerbaijan Grand Prix
ALB,113.2605714285714,14.0,2023,4,Azerbaijan Grand Prix
