Driver,FP3AvgPace,FP3BestPace,FP3LapCount,Year,RoundNumber,EventName,SessionSource
ALB,114.47833333333334,94.006,6.0,2023,1,Bahrain Grand Prix,
ALO,121.99325,92.655,4.0,2023,1,Bahrain Grand Prix,
BOT,104.278,93.629,3.0,2023,1,Bahrain Grand Prix,
LEC,101.578125,93.567,8.0,2023,1,Bahrain Grand Prix,
RUS,96.27633333333334,92.731,6.0,2023,1,Bahrain Grand Prix,
PIA,126.4515,94.668,4.0,2023,1,Bahrain Grand Prix,
PER,111.0835,95.096,2.0,2023,1,Bahrain Grand Prix,
OCO,117.38144444444444,93.73,9.0,2023,1,Bahrain Grand Prix,
NOR,116.3924,94.321,5.0,2023,1,Bahrain Grand Prix,
MAG,112.80392307692308,95.032,13.0,2023,1,Bahrain Grand Prix,
DEV,116.3441111111111,94.351,9.0,2023,1,Bahrain Grand Prix,
ZHO,110.8345,94.232,2.0,2023,1,Bahrain Grand Prix,
GAS,119.027,93.064,6.0,2023,1,Bahrain Grand Prix,
HAM,95.2178,93.211,5.0,2023,1,Bahrain Grand Prix,
HUL,105.53966666666666,94.187,12.0,2023,1,Bahrain Grand Prix,
SAR,95.45966666666664,93.96,3.0,2023,1,Bahrain Grand Prix,
STR,121.55614285714285,94.068,7.0,2023,1,Bahrain Grand Prix,
TSU,121.497125,93.543,8.0,2023,1,Bahrain Grand Prix,
VER,133.0755,120.653,4.0,2023,1,Bahrain Grand Prix,
SAI,105.7372222222222,93.523,9.0,2023,1,Bahrain Grand Prix,
TSU,110.9970769230769,90.797,13.0,2023,2,Saudi Arabian Grand Prix,
VER,106.53422222222224,88.485,9.0,2023,2,Saudi Arabian Grand Prix,
ZHO,110.25176923076924,89.917,13.0,2023,2,Saudi Arabian Grand Prix,
STR,106.34154545454544,89.509,11.0,2023,2,Saudi Arabian Grand Prix,
BOT,104.10563636363636,90.317,11.0,2023,2,Saudi Arabian Grand Prix,
HUL,114.737375,89.942,8.0,2023,2,Saudi Arabian Grand Prix,
HAM,101.0292,89.568,5.0,2023,2,Saudi Arabian Grand Prix,
ALB,117.0616,89.983,10.0,2023,2,Saudi Arabian Grand Prix,
GAS,108.285,89.701,9.0,2023,2,Saudi Arabian Grand Prix,
RUS,120.61054545454544,89.811,11.0,2023,2,Saudi Arabian Grand Prix,
PIA,107.2992,89.698,15.0,2023,2,Saudi Arabian Grand Prix,
LEC,101.3015,89.588,6.0,2023,2,Saudi Arabian Grand Prix,
PER,98.6064,89.098,5.0,2023,2,Saudi Arabian Grand Prix,
SAI,91.9728,89.761,5.0,2023,2,Saudi Arabian Grand Prix,
OCO,108.09655555555555,89.953,9.0,2023,2,Saudi Arabian Grand Prix,
NOR,103.0005,89.69,6.0,2023,2,Saudi Arabian Grand Prix,
SAR,116.5925,90.035,8.0,2023,2,Saudi Arabian Grand Prix,
MAG,112.161,90.131,5.0,2023,2,Saudi Arabian Grand Prix,
ALO,107.44954545454544,89.483,11.0,2023,2,Saudi Arabian Grand Prix,
ALB,98.75330769230769,78.553,13.0,2023,3,Australian Grand Prix,
NOR,87.37611111111111,79.146,9.0,2023,3,Australian Grand Prix,
OCO,91.4340625,77.938,16.0,2023,3,Australian Grand Prix,
