Driver,FP3AvgPace,FP3BestPace,FP3LapCount,Year,RoundNumber,EventName,SessionSource
ALB,122.6312,91.965,5.0,2024,1,Bahrain Grand Prix,
ALO,116.45888888888892,92.585,9.0,2024,1,Bahrain Grand Prix,
BOT,100.30833333333334,92.096,3.0,2024,1,Bahrain Grand Prix,
GAS,115.78950000000002,93.093,6.0,2024,1,Bahrain Grand Prix,
HAM,101.694125,91.975,8.0,2024,1,Bahrain Grand Prix,
HUL,126.65528571428572,93.038,7.0,2024,1,Bahrain Grand Prix,
LEC,113.98157142857144,91.337,7.0,2024,1,Bahrain Grand Prix,
MAG,101.40255555555557,91.671,9.0,2024,1,Bahrain Grand Prix,
NOR,106.7595,92.761,2.0,2024,1,Bahrain Grand Prix,
OCO,121.97566666666668,93.012,3.0,2024,1,Bahrain Grand Prix,
PER,118.5318,91.328,5.0,2024,1,Bahrain Grand Prix,
PIA,102.744,93.273,3.0,2024,1,Bahrain Grand Prix,
RIC,120.71525,112.462,4.0,2024,1,Bahrain Grand Prix,
SAR,101.94975,92.125,4.0,2024,1,Bahrain Grand Prix,
STR,115.50028571428572,91.735,7.0,2024,1,Bahrain Grand Prix,
ZHO,100.9025,92.0,4.0,2024,1,Bahrain Grand Prix,
VER,119.39357142857143,91.246,7.0,2024,1,Bahrain Grand Prix,
SAI,109.705,92.202,7.0,2024,1,Bahrain Grand Prix,
TSU,113.882,92.161,5.0,2024,1,Bahrain Grand Prix,
RUS,92.831,92.831,1.0,2024,1,Bahrain Grand Prix,
ZHO,116.1625,90.739,6.0,2024,2,Saudi Arabian Grand Prix,
RUS,105.034875,89.639,8.0,2024,2,Saudi Arabian Grand Prix,
RIC,109.81,90.593,6.0,2024,2,Saudi Arabian Grand Prix,
PER,108.57533333333332,89.532,3.0,2024,2,Saudi Arabian Grand Prix,
PIA,112.915,90.058,4.0,2024,2,Saudi Arabian Grand Prix,
VER,117.47533333333332,88.412,6.0,2024,2,Saudi Arabian Grand Prix,
ALB,119.7422,89.979,5.0,2024,2,Saudi Arabian Grand Prix,
TSU,115.397625,90.743,8.0,2024,2,Saudi Arabian Grand Prix,
STR,115.549,90.073,6.0,2024,2,Saudi Arabian Grand Prix,
BOT,106.52466666666665,90.083,12.0,2024,2,Saudi Arabian Grand Prix,
HAM,100.09566666666666,90.253,9.0,2024,2,Saudi Arabian Grand Prix,
BEA,100.91538461538462,90.277,13.0,2024,2,Saudi Arabian Grand Prix,
HUL,120.72625,89.953,4.0,2024,2,Saudi Arabian Grand Prix,
LEC,105.3455,89.206,6.0,2024,2,Saudi Arabian Grand Prix,
MAG,116.549,89.485,4.0,2024,2,Saudi Arabian Grand Prix,
GAS,111.4126,89.546,5.0,2024,2,Saudi Arabian Grand Prix,
ALO,112.87666666666668,89.473,6.0,2024,2,Saudi Arabian Grand Prix,
NOR,112.59275,88.971,4.0,2024,2,Saudi Arabian Grand Prix,
OCO,108.8452,89.575,5.0,2024,2,Saudi Arabian Grand Prix,
GAS,94.7184166666667,78.39,12.0,2024,3,Australian Grand Prix,
ALO,97.679,76.997,8.0,2024,3,Australian Grand Prix,
ALB,97.4493846153846,77.831,13.0,2024,3,Australian Grand Prix,
HUL,99.87475,77.941,8.0,2024,3,Australian Grand Prix,
BOT,97.397875,77.752,8.0,2024,3,Australian Grand Prix,
HAM,93.272375,76.806,8.0,2024,3,Australian Grand Prix,
LEC,97.45763636363635,76.714,11.0,2024,3,Australian Grand Prix,
MAG,100.951,77.961,9.0,2024,3,Australian Grand Prix,
NOR,92.46875,77.49,12.0,2024,3,Australian Grand Prix,
OCO,96.18466666666666,77.92,12.0,2024,3,Australian Grand Prix,
PER,91.216875,77.014,16.0,2024,3,Australian Grand Prix,
PIA,97.299375,77.087,8.0,2024,3,Australian Grand Prix,
RIC,99.24827272727272,78.643,11.0,2024,3,Australian Grand Prix,
RUS,102.80066666666666,76.886,15.0,2024,3,Australian Grand Prix,
SAI,92.53888888888888,76.791,9.0,2024,3,Australian Grand Prix,
STR,93.2578,77.341,10.0,2024,3,Australian Grand Prix,
TSU,111.42063636363636,78.028,11.0,2024,3,Australian Grand Prix,
VER,94.02285,76.734,20.0,2024,3,Australian Grand Prix,
ZHO,97.7722,77.876,5.0,2024,3,Australian Grand Prix,
ALB,106.12336363636364,91.254,11.0,2024,4,Japanese Grand Prix,
ALO,103.359,90.811,15.0,2024,4,Japanese Grand Prix,
BOT,103.8745,90.791,14.0,2024,4,Japanese Grand Prix,
GAS,103.45933333333332,91.924,9.0,2024,4,Japanese Grand Prix,
HAM,100.40955555555556,94.882,9.0,2024,4,Japanese Grand Prix,
HUL,104.4862,91.872,10.0,2024,4,Japanese Grand Prix,
LEC,101.85073333333334,90.559,15.0,2024,4,Japanese Grand Prix,
MAG,105.19592307692308,91.793,13.0,2024,4,Japanese Grand Prix,
NOR,111.70425,90.137,4.0,2024,4,Japanese Grand Prix,
OCO,116.6161818181818,91.913,11.0,2024,4,Japanese Grand Prix,
PER,110.4558125,90.418,16.0,2024,4,Japanese Grand Prix,
PIA,100.45744444444443,96.398,9.0,2024,4,Japanese Grand Prix,
RIC,108.70408333333334,91.168,12.0,2024,4,Japanese Grand Prix,
RUS,95.2042307692308,93.279,13.0,2024,4,Japanese Grand Prix,
SAI,102.01141176470588,90.984,17.0,2024,4,Japanese Grand Prix,
SAR,108.97,92.126,9.0,2024,4,Japanese Grand Prix,
STR,107.29949999999998,91.342,14.0,2024,4,Japanese Grand Prix,
TSU,109.6528,90.771,10.0,2024,4,Japanese Grand Prix,
VER,98.1823,90.193,10.0,2024,4,Japanese Grand Prix,
ZHO,97.15766666666669,91.067,9.0,2024,4,Japanese Grand Prix,
VER,114.6055,95.606,6.0,2024,5,Chinese Grand Prix,SprintQuali
ZHO,113.22639999999998,96.307,10.0,2024,5,Chinese Grand Prix,SprintQuali
ALB,97.92750000000001,97.812,2.0,2024,5,Chinese Grand Prix,SprintQuali
ALO,115.14237499999999,96.119,8.0,2024,5,Chinese Grand Prix,SprintQuali
BOT,112.7251,96.056,10.0,2024,5,Chinese Grand Prix,SprintQuali
LEC,112.91274999999999,95.711,8.0,2024,5,Chinese Grand Prix,SprintQuali
PIA,114.40933333333334,95.853,9.0,2024,5,Chinese Grand Prix,SprintQuali
HUL,108.3072,96.478,5.0,2024,5,Chinese Grand Prix,SprintQuali
HAM,109.1255,96.287,6.0,2024,5,Chinese Grand Prix,SprintQuali
GAS,114.9885,97.632,4.0,2024,5,Chinese Grand Prix,SprintQuali
MAG,110.74359999999999,96.473,5.0,2024,5,Chinese Grand Prix,SprintQuali
RIC,108.70700000000002,96.553,5.0,2024,5,Chinese Grand Prix,SprintQuali
RUS,102.42775,96.345,4.0,2024,5,Chinese Grand Prix,SprintQuali
SAI,115.86333333333333,96.052,9.0,2024,5,Chinese Grand Prix,SprintQuali
SAR,98.1275,97.923,2.0,2024,5,Chinese Grand Prix,SprintQuali
NOR,111.39742857142856,96.047,7.0,2024,5,Chinese Grand Prix,SprintQuali
PER,114.07683333333334,95.781,6.0,2024,5,Chinese Grand Prix,SprintQuali
OCO,112.92175,97.72,4.0,2024,5,Chinese Grand Prix,SprintQuali
STR,106.14500000000001,96.677,4.0,2024,5,Chinese Grand Prix,SprintQuali
TSU,118.7415,97.892,4.0,2024,5,Chinese Grand Prix,SprintQuali
RIC,88.59825,88.044,4.0,2024,6,Miami Grand Prix,SprintQuali
SAI,102.50309999999999,88.103,10.0,2024,6,Miami Grand Prix,SprintQuali
SAR,108.91075000000001,89.551,4.0,2024,6,Miami Grand Prix,SprintQuali
