Driver,FP1AvgPace,FP1LapCount,Year,RoundNumber,EventName
ALB,113.9212222222222,9.0,2024,1,Bahrain Grand Prix
ALO,110.16922222222225,9.0,2024,1,Bahrain Grand Prix
BOT,110.0064,10.0,2024,1,Bahrain Grand Prix
GAS,104.281,12.0,2024,1,Bahrain Grand Prix
HAM,99.53233333333333,9.0,2024,1,Bahrain Grand Prix
HUL,99.79846666666668,15.0,2024,1,Bahrain Grand Prix
LEC,106.76991666666667,12.0,2024,1,Bahrain Grand Prix
MAG,100.742375,16.0,2024,1,Bahrain Grand Prix
NOR,106.52784615384614,13.0,2024,1,Bahrain Grand Prix
OCO,106.46433333333331,9.0,2024,1,Bahrain Grand Prix
PER,105.97827272727272,11.0,2024,1,Bahrain Grand Prix
VER,105.1381,10.0,2024,1,Bahrain Grand Prix
SAI,105.03418181818184,11.0,2024,1,Bahrain Grand Prix
SAR,101.20333333333332,9.0,2024,1,Bahrain Grand Prix
PIA,105.86286666666666,15.0,2024,1,Bahrain Grand Prix
RIC,105.38166666666666,12.0,2024,1,Bahrain Grand Prix
STR,106.67688888888888,9.0,2024,1,Bahrain Grand Prix
ZHO,116.9042,5.0,2024,1,Bahrain Grand Prix
TSU,111.0112857142857,14.0,2024,1,Bahrain Grand Prix
RUS,112.65439999999998,15.0,2024,1,Bahrain Grand Prix
RUS,103.03454545454544,11.0,2024,2,Saudi Arabian Grand Prix
PER,107.0845,10.0,2024,2,Saudi Arabian Grand Prix
SAI,110.54766666666669,12.0,2024,2,Saudi Arabian Grand Prix
PIA,104.8175,10.0,2024,2,Saudi Arabian Grand Prix
TSU,117.717,15.0,2024,2,Saudi Arabian Grand Prix
RIC,110.93138461538462,13.0,2024,2,Saudi Arabian Grand Prix
OCO,107.442875,16.0,2024,2,Saudi Arabian Grand Prix
GAS,103.64221428571427,14.0,2024,2,Saudi Arabian Grand Prix
VER,106.95864285714283,14.0,2024,2,Saudi Arabian Grand Prix
ZHO,105.45545454545451,11.0,2024,2,Saudi Arabian Grand Prix
STR,105.0655,8.0,2024,2,Saudi Arabian Grand Prix
SAR,102.04026666666664,15.0,2024,2,Saudi Arabian Grand Prix
NOR,103.6297142857143,14.0,2024,2,Saudi Arabian Grand Prix
ALO,100.99257142857144,14.0,2024,2,Saudi Arabian Grand Prix
BOT,100.12561538461536,13.0,2024,2,Saudi Arabian Grand Prix
ALB,105.55933333333331,15.0,2024,2,Saudi Arabian Grand Prix
HAM,101.6745,8.0,2024,2,Saudi Arabian Grand Prix
HUL,101.25725,8.0,2024,2,Saudi Arabian Grand Prix
LEC,96.589,9.0,2024,2,Saudi Arabian Grand Prix
MAG,99.19957142857145,7.0,2024,2,Saudi Arabian Grand Prix
ALB,107.4602,5.0,2024,4,Japanese Grand Prix
BOT,106.8235,6.0,2024,4,Japanese Grand Prix
ALO,105.6878181818182,11.0,2024,4,Japanese Grand Prix
GAS,104.921375,8.0,2024,4,Japanese Grand Prix
HAM,95.6286,10.0,2024,4,Japanese Grand Prix
HUL,99.97725,8.0,2024,4,Japanese Grand Prix
IWA,107.2332142857143,14.0,2024,4,Japanese Grand Prix
LEC,105.347625,8.0,2024,4,Japanese Grand Prix
MAG,110.9794,10.0,2024,4,Japanese Grand Prix
NOR,96.48090909090908,11.0,2024,4,Japanese Grand Prix
OCO,116.38819999999998,10.0,2024,4,Japanese Grand Prix
PER,101.8192,5.0,2024,4,Japanese Grand Prix
PIA,96.71136363636364,11.0,2024,4,Japanese Grand Prix
RUS,94.93616666666668,6.0,2024,4,Japanese Grand Prix
SAI,105.50690909090908,11.0,2024,4,Japanese Grand Prix
SAR,114.62675,4.0,2024,4,Japanese Grand Prix
STR,104.93185714285714,7.0,2024,4,Japanese Grand Prix
TSU,110.102625,8.0,2024,4,Japanese Grand Prix
VER,105.83225,8.0,2024,4,Japanese Grand Prix
ZHO,110.1805,8.0,2024,4,Japanese Grand Prix
PIA,113.62691666666666,12.0,2024,5,Chinese Grand Prix
PER,105.78641666666668,12.0,2024,5,Chinese Grand Prix
LEC,113.39433333333334,12.0,2024,5,Chinese Grand Prix
HUL,108.38316666666668,12.0,2024,5,Chinese Grand Prix
MAG,106.76966666666665,12.0,2024,5,Chinese Grand Prix
OCO,117.4735,12.0,2024,5,Chinese Grand Prix
TSU,114.8053125,16.0,2024,5,Chinese Grand Prix
STR,109.70772727272728,11.0,2024,5,Chinese Grand Prix
VER,105.48546153846154,13.0,2024,5,Chinese Grand Prix
ZHO,109.64021428571428,14.0,2024,5,Chinese Grand Prix
GAS,106.18458333333332,12.0,2024,5,Chinese Grand Prix
ALB,108.25512499999999,8.0,2024,5,Chinese Grand Prix
HAM,105.6421,10.0,2024,5,Chinese Grand Prix
ALO,110.32715384615386,13.0,2024,5,Chinese Grand Prix
BOT,110.20757142857143,14.0,2024,5,Chinese Grand Prix
NOR,107.9435,10.0,2024,5,Chinese Grand Prix
SAR,109.93970000000002,10.0,2024,5,Chinese Grand Prix
SAI,112.03422222222223,9.0,2024,5,Chinese Grand Prix
RUS,106.699,13.0,2024,5,Chinese Grand Prix
RIC,112.854,14.0,2024,5,Chinese Grand Prix
TSU,109.52163636363639,11.0,2024,6,Miami Grand Prix
VER,97.78750000000001,14.0,2024,6,Miami Grand Prix
RIC,108.8023125,16.0,2024,6,Miami Grand Prix
ZHO,117.69792857142855,14.0,2024,6,Miami Grand Prix
BOT,107.1886,10.0,2024,6,Miami Grand Prix
SAR,98.74818181818182,11.0,2024,6,Miami Grand Prix
STR,104.6628,15.0,2024,6,Miami Grand Prix
HAM,95.6081111111111,9.0,2024,6,Miami Grand Prix
HUL,101.358,13.0,2024,6,Miami Grand Prix
PER,96.0601,10.0,2024,6,Miami Grand Prix
GAS,107.55364705882351,17.0,2024,6,Miami Grand Prix
MAG,97.49566666666666,15.0,2024,6,Miami Grand Prix
NOR,101.77900000000001,11.0,2024,6,Miami Grand Prix
OCO,107.088,13.0,2024,6,Miami Grand Prix
ALO,104.40578571428571,14.0,2024,6,Miami Grand Prix
PIA,103.6596,10.0,2024,6,Miami Grand Prix
SAI,108.49684615384616,13.0,2024,6,Miami Grand Prix
RUS,103.31746153846153,13.0,2024,6,Miami Grand Prix
ALB,101.63416666666667,12.0,2024,6,Miami Grand Prix
TSU,95.1562777777778,18.0,2024,7,Emilia Romagna Grand Prix
SAR,94.2975,12.0,2024,7,Emilia Romagna Grand Prix
SAI,89.23464285714284,14.0,2024,7,Emilia Romagna Grand Prix
RUS,96.73055555555555,18.0,2024,7,Emilia Romagna Grand Prix
STR,93.5976,10.0,2024,7,Emilia Romagna Grand Prix
ZHO,96.511,10.0,2024,7,Emilia Romagna Grand Prix
VER,98.98325,8.0,2024,7,Emilia Romagna Grand Prix
OCO,94.45227777777777,18.0,2024,7,Emilia Romagna Grand Prix
NOR,92.65575,8.0,2024,7,Emilia Romagna Grand Prix
LEC,86.42863157894737,19.0,2024,7,Emilia Romagna Grand Prix
HUL,86.429,9.0,2024,7,Emilia Romagna Grand Prix
BEA,91.79961904761905,21.0,2024,7,Emilia Romagna Grand Prix
BOT,91.22358333333334,12.0,2024,7,Emilia Romagna Grand Prix
