Driver,Compound,FP2AvgPace,FP2BestPace,FP2DegRate,FP2LapCount,FP2AvgTyreLife,Year,RoundNumber,EventName,SessionSource
ALB,HARD,101.3815,97.371,1.6108181818181804,12.0,8.5,2023,1,Bahrain Grand Prix,FP2
ALO,SOFT,100.272,96.251,1.6497545454545446,11.0,11.0,2023,1,Bahrain Grand Prix,FP2
BOT,SOFT,102.088,97.402,2.282016666666666,9.0,12.0,2023,1,Bahrain Grand Prix,FP2
DEV,SOFT,99.34633333333336,98.192,0.0985333333333328,9.0,12.0,2023,1,Bahrain Grand Prix,FP2
GAS,SOFT,100.16236363636364,97.81,1.015990909090907,11.0,11.0,2023,1,Bahrain Grand Prix,FP2
HAM,SOFT,98.56554545454546,97.935,0.0946636363636368,11.0,10.0,2023,1,Bahrain Grand Prix,FP2
STR,MEDIUM,101.02400000000002,97.479,1.418581818181818,11.0,14.0,2023,1,Bahrain Grand Prix,FP2
SAR,SOFT,102.17475,97.849,1.6965419580419572,12.0,12.5,2023,1,Bahrain Grand Prix,FP2
NOR,SOFT,98.2392,97.683,0.0993090909090879,10.0,9.5,2023,1,Bahrain Grand Prix,FP2
OCO,SOFT,100.78727272727274,97.803,1.2084999999999977,11.0,13.0,2023,1,Bahrain Grand Prix,FP2
PER,SOFT,98.05264285714284,96.829,0.1480065934065947,14.0,11.5,2023,1,Bahrain Grand Prix,FP2
PIA,SOFT,101.3492857142857,98.128,1.0486285714285684,14.0,13.5,2023,1,Bahrain Grand Prix,FP2
RUS,SOFT,98.36277777777778,97.789,0.1789666666666619,9.0,9.0,2023,1,Bahrain Grand Prix,FP2
SAI,SOFT,100.39079999999996,97.823,1.344822429906546,15.0,9.6,2023,1,Bahrain Grand Prix,FP2
LEC,SOFT,97.74871428571429,97.542,-0.0543571428571458,7.0,8.0,2023,1,Bahrain Grand Prix,FP2
HUL,MEDIUM,100.95025,98.114,1.4094999999999966,8.0,10.5,2023,1,Bahrain Grand Prix,FP2
TSU,SOFT,101.17263636363636,98.207,1.2945727272727292,11.0,13.0,2023,1,Bahrain Grand Prix,FP2
VER,SOFT,98.33708333333334,96.827,0.1514860139860131,12.0,10.5,2023,1,Bahrain Grand Prix,FP2
ZHO,MEDIUM,103.36366666666666,98.478,2.5638333333333327,9.0,14.0,2023,1,Bahrain Grand Prix,FP2
VER,SOFT,95.45092307692308,95.024,0.0041043956043975,13.0,13.0,2023,2,Saudi Arabian Grand Prix,FP2
SAR,HARD,96.2883,95.78,-0.0222242424242389,10.0,13.5,2023,2,Saudi Arabian Grand Prix,FP2
STR,SOFT,95.8115,94.852,0.1443212121212119,10.0,13.5,2023,2,Saudi Arabian Grand Prix,FP2
GAS,SOFT,95.31555555555556,94.804,-0.0262666666666714,9.0,14.0,2023,2,Saudi Arabian Grand Prix,FP2
HAM,MEDIUM,102.73933333333332,94.966,6.287428571428567,6.0,11.5,2023,2,Saudi Arabian Grand Prix,FP2
HUL,MEDIUM,99.25283333333334,96.138,1.1197552447552457,12.0,14.5,2023,2,Saudi Arabian Grand Prix,FP2
