Driver,Team,Year,RoundNumber,EventName,QualiTimeSeconds,GapToPole,QualiPosition,QualiTeammateGap
ALB,Williams,2025,1,Australian Grand Prix,75.737,0.6409999999999911,6,-0.19400000000000261
ALO,Aston Martin,2025,1,Australian Grand Prix,76.288,1.191999999999993,12,-0.08100000000000307
ANT,Mercedes,2025,1,Australian Grand Prix,76.525,1.429000000000002,16,0.9789999999999992
BEA,Haas F1 Team,2025,1,Australian Grand Prix,,,20,
BOR,Kick Sauber,2025,1,Australian Grand Prix,76.516,1.4200000000000017,15,-0.06299999999998818
DOO,Alpine,2025,1,Australian Grand Prix,76.315,1.218999999999994,13,0.33499999999999375
GAS,Alpine,2025,1,Australian Grand Prix,75.98,0.8840000000000003,10,-0.33499999999999375
HAD,Racing Bulls,2025,1,Australian Grand Prix,76.175,1.0789999999999935,11,0.5049999999999955
HAM,Ferrari,2025,1,Australian Grand Prix,75.919,0.8229999999999933,8,0.16400000000000148
HUL,Kick Sauber,2025,1,Australian Grand Prix,76.579,1.4829999999999899,17,0.06299999999998818
LAW,Red Bull Racing,2025,1,Australian Grand Prix,77.094,1.9979999999999905,18,1.6129999999999995
LEC,Ferrari,2025,1,Australian Grand Prix,75.755,0.6589999999999918,7,-0.16400000000000148
NOR,McLaren,2025,1,Australian Grand Prix,75.096,0.0,1,-0.08400000000000318
OCO,Haas F1 Team,2025,1,Australian Grand Prix,77.147,2.051000000000002,19,
PIA,McLaren,2025,1,Australian Grand Prix,75.18,0.08400000000000318,2,0.08400000000000318
RUS,Mercedes,2025,1,Australian Grand Prix,75.546,0.45000000000000284,4,-0.9789999999999992
SAI,Williams,2025,1,Australian Grand Prix,75.931,0.8349999999999937,9,0.19400000000000261
STR,Aston Martin,2025,1,Australian Grand Prix,76.369,1.2729999999999961,14,0.08100000000000307
TSU,Racing Bulls,2025,1,Australian Grand Prix,75.67,0.5739999999999981,5,-0.5049999999999955
VER,Red Bull Racing,2025,1,Australian Grand Prix,75.481,0.3849999999999909,3,-1.6129999999999995
ALB,Williams,2025,2,Chinese Grand Prix,91.503,0.8619999999999948,10,-0.125
ALO,Aston Martin,2025,2,Chinese Grand Prix,91.688,1.046999999999997,14,-0.08499999999999375
ANT,Mercedes,2025,2,Chinese Grand Prix,91.103,0.4619999999999891,8,0.37999999999999545
BEA,Haas F1 Team,2025,2,Chinese Grand Prix,92.018,1.3769999999999953,17,0.3930000000000007
BOR,Kick Sauber,2025,2,Chinese Grand Prix,92.141,1.5,19,0.5090000000000003
DOO,Alpine,2025,2,Chinese Grand Prix,92.092,1.4509999999999934,18,0.09999999999999432
GAS,Alpine,2025,2,Chinese Grand Prix,91.992,1.350999999999999,16,-0.09999999999999432
HAD,Racing Bulls,2025,2,Chinese Grand Prix,91.079,0.4379999999999882,7,-0.15900000000000603
HAM,Ferrari,2025,2,Chinese Grand Prix,90.927,0.28600000000000136,5,-0.09399999999999409
HUL,Kick Sauber,2025,2,Chinese Grand Prix,91.632,0.9909999999999997,13,-0.5090000000000003
LAW,Red Bull Racing,2025,2,Chinese Grand Prix,92.174,1.5330000000000013,20,1.3570000000000135
LEC,Ferrari,2025,2,Chinese Grand Prix,91.021,0.37999999999999545,6,0.09399999999999409
NOR,McLaren,2025,2,Chinese Grand Prix,90.787,0.1460000000000008,3,0.1460000000000008
OCO,Haas F1 Team,2025,2,Chinese Grand Prix,91.625,0.9839999999999947,11,-0.3930000000000007
PIA,McLaren,2025,2,Chinese Grand Prix,90.641,0.0,1,-0.1460000000000008
RUS,Mercedes,2025,2,Chinese Grand Prix,90.723,0.08199999999999363,2,-0.37999999999999545
SAI,Williams,2025,2,Chinese Grand Prix,91.628,0.9869999999999948,12,0.125
STR,Aston Martin,2025,2,Chinese Grand Prix,91.773,1.1319999999999908,15,0.08499999999999375
TSU,Racing Bulls,2025,2,Chinese Grand Prix,91.238,0.5969999999999942,9,0.15900000000000603
VER,Red Bull Racing,2025,2,Chinese Grand Prix,90.817,0.17599999999998772,4,-1.3570000000000135
ALB,Williams,2025,3,Japanese Grand Prix,87.615,0.6319999999999908,9,-0.22100000000000364
ALO,Aston Martin,2025,3,Japanese Grand Prix,87.897,0.9140000000000015,13,-1.3739999999999952
ANT,Mercedes,2025,3,Japanese Grand Prix,87.555,0.5720000000000027,6,0.23700000000000898
BEA,Haas F1 Team,2025,3,Japanese Grand Prix,87.711,0.7279999999999944,10,-0.9849999999999994
BOR,Kick Sauber,2025,3,Japanese Grand Prix,88.622,1.6389999999999958,17,0.05200000000000671
DOO,Alpine,2025,3,Japanese Grand Prix,88.877,1.8939999999999912,19,1.0549999999999926
