EventName,Condition,MeanPitTime,MedianPitTime,StdPitTime,MeanEffLoss,MedianEffLoss,StdEffLoss,Count
Abu Dhabi Grand Prix,Normal,22.843120879120892,21.98700000000008,2.9872700760808595,22.843120879120892,21.98700000000008,2.9872700760808595,91
Abu Dhabi Grand Prix,VSC,24.952000000000226,24.952000000000226,,22.446684595007028,22.446684595007028,,1
Australian Grand Prix,Normal,19.49448888888895,18.07799999999952,5.202961921401649,19.49448888888895,18.07799999999952,5.202961921401649,45
Australian Grand Prix,SC,16.91055294117649,16.341999999999643,2.8257227499640294,11.623391287717382,11.387112145278861,1.8607914558083958,85
Australian Grand Prix,VSC,21.77800000000002,19.231500000000324,5.900970485154523,15.775405569877778,13.930788512127345,4.274506504692392,4
Austrian Grand Prix,Normal,22.932971428571406,21.735999999999876,3.022432169682169,22.932971428571406,21.735999999999876,3.022432169682169,105
Austrian Grand Prix,SC,18.45108695652186,17.093000000000302,3.670791367651236,11.29915733595956,10.42674109526816,2.283417549044085,23
Austrian Grand Prix,VSC,22.755999999999858,22.31999999999971,1.3878564898301633,17.094406932128134,16.766881821282183,1.042563877682893,12
Azerbaijan Grand Prix,Normal,20.902730769230796,20.661500000000615,1.036056647618191,20.902730769230796,20.661500000000615,1.036056647618191,52
Azerbaijan Grand Prix,SC,22.331333333333305,21.45999999999958,2.8869800935590098,17.86069539768048,16.8148955847258,2.6759743003158625,12
Azerbaijan Grand Prix,VSC,20.41649999999936,20.41649999999936,0.2877924599423898,20.41649999999936,20.41649999999936,0.2877924599423898,2
Bahrain Grand Prix,Normal,26.21885964912275,24.953999999999724,3.6562213505472925,26.21885964912275,24.953999999999724,3.6562213505472925,114
Bahrain Grand Prix,SC,24.662214285714267,24.566499999999905,0.5744637872461724,18.275704902484726,18.204776719783748,0.42570105551942566,14
Bahrain Grand Prix,VSC,25.371666666666744,25.07699999999977,0.9402186270582795,19.91698617707716,19.685670197565173,0.7380800656329303,6
Belgian Grand Prix,Normal,23.532453608247398,23.377000000000407,0.8544425573219606,23.532453608247398,23.377000000000407,0.8544425573219606,97
